fid,iid,rep,budget,algorithm,precision
1,1,5,300,MLSL,-12.0
1,1,5,300,Non-elitist,-12.0
1,1,5,300,PSO,-1.6596940531127204
1,1,5,300,Elitist,-12.0
1,1,5,350,BFGS,-12.0
1,1,5,350,DE,-12.0
1,1,5,350,MLSL,-12.0
1,1,5,350,Non-elitist,-12.0
1,1,5,350,PSO,-1.260002672642485
1,1,5,350,Elitist,-12.0
1,1,5,400,BFGS,-12.0
1,1,5,400,DE,-12.0
1,1,5,400,MLSL,-12.0
1,1,5,400,Non-elitist,-12.0
1,1,5,400,PSO,-1.6055466262154616
1,1,5,400,Elitist,-12.0
1,1,5,450,BFGS,-12.0
1,1,5,450,DE,-12.0
1,1,5,450,MLSL,-12.0
1,1,5,450,Non-elitist,-12.0
1,1,5,450,PSO,-2.578722395649327
1,1,5,450,Elitist,-12.0
1,1,5,500,BFGS,-12.0
1,1,5,500,DE,-12.0
1,1,5,500,MLSL,-12.0
1,1,5,500,Non-elitist,-12.0
1,1,5,500,PSO,-3.196451550809436
1,1,5,500,Elitist,-12.0
1,1,5,550,BFGS,-12.0
1,1,5,550,DE,-12.0
1,1,5,550,MLSL,-12.0
1,1,5,550,Non-elitist,-12.0
1,1,5,550,PSO,-3.321909467743352
1,1,5,550,Elitist,-12.0
1,1,5,600,BFGS,-12.0
1,1,5,600,DE,-12.0
1,1,5,600,MLSL,-12.0
1,1,5,600,Non-elitist,-12.0
1,1,5,600,PSO,-4.280327910466549
1,1,5,600,Elitist,-12.0
1,1,5,650,BFGS,-12.0
1,1,5,650,DE,-12.0
1,1,5,650,MLSL,-12.0
1,1,5,650,Non-elitist,-12.0
1,1,5,650,PSO,-4.943085712334503
1,1,5,650,Elitist,-12.0
1,1,5,700,BFGS,-12.0
1,1,5,700,DE,-12.0
1,1,5,700,MLSL,-12.0
1,1,5,700,Non-elitist,-12.0
1,1,5,700,PSO,-5.642055564289831
1,1,5,700,Elitist,-12.0
1,1,5,750,BFGS,-12.0
1,1,5,750,DE,-12.0
1,1,5,750,MLSL,-12.0
1,1,5,750,Non-elitist,-12.0
1,1,5,750,PSO,-12.0
1,1,5,750,Elitist,-12.0
1,1,5,800,BFGS,-12.0
1,1,5,800,DE,-12.0
1,1,5,800,MLSL,-12.0
1,1,5,800,Non-elitist,-12.0
1,1,5,800,PSO,-12.0
1,1,5,800,Elitist,-12.0
1,1,5,850,BFGS,-12.0
1,1,5,850,DE,-12.0
1,1,5,850,MLSL,-12.0
1,1,5,850,Non-elitist,-12.0
1,1,5,850,PSO,-12.0
1,1,5,850,Elitist,-12.0
1,1,5,900,BFGS,-12.0
1,1,5,900,DE,-12.0
1,1,5,900,MLSL,-12.0
1,1,5,900,Non-elitist,-12.0
1,1,5,900,PSO,-12.0
1,1,5,900,Elitist,-12.0
1,1,5,950,BFGS,-12.0
1,1,5,950,DE,-12.0
1,1,5,950,MLSL,-12.0
1,1,5,950,Non-elitist,-12.0
1,1,5,950,PSO,-12.0
1,1,5,950,Elitist,-12.0
1,1,5,1000,BFGS,-12.0
1,1,5,1000,DE,-12.0
1,1,5,1000,MLSL,-12.0
1,1,5,1000,Non-elitist,-12.0
1,1,5,1000,PSO,-12.0
1,1,5,1000,Elitist,-12.0
1,1,6,50,BFGS,-12.0
1,1,6,50,DE,-12.0
1,1,6,50,MLSL,-12.0
1,1,6,50,Non-elitist,-12.0
1,1,6,50,PSO,-1.9634463381668543
1,1,6,50,Elitist,-12.0
1,1,6,100,BFGS,-12.0
1,1,6,100,DE,-12.0
1,1,6,100,MLSL,-12.0
1,1,6,100,Non-elitist,-12.0
1,1,6,100,PSO,-1.7913482693643055
1,1,6,100,Elitist,-12.0
1,1,6,150,BFGS,-12.0
1,1,6,150,DE,-12.0
1,1,6,150,MLSL,-12.0
1,1,6,150,Non-elitist,-12.0
1,1,6,150,PSO,-1.1448357520451535
